metric;correlation;p_value;method;target_variable;metric_label
slope_upper;0,364129976443627268;0,00122249232586207315539;Pearson;WD_BA;slope_upper
slope_upper;0,425673274094326703;0,00012634201544503589312;Spearman;WD_BA;slope_upper
height_max_d1;0,408032593978043201;0,00025340167074061392466;Pearson;WD_BA;Hauteur à pente maximale
height_max_d1;0,418495590555575114;0,00016847882745295490476;Spearman;WD_BA;Hauteur à pente maximale
max_d1;-0,440909063647621502;0,00006710660093092323149;Pearson;WD_BA;Pente maximale
max_d1;-0,304470266575529724;0,00749234819671136878516;Spearman;WD_BA;Pente maximale
height_max_d2;0,420631200804657157;0,00015475559427126584161;Pearson;WD_BA;Hauteur à accélération max
height_max_d2;0,482768760800949104;0,00001002364522980746688;Spearman;WD_BA;Hauteur à accélération max
max_d2;-0,430689435474637727;0,00010292395824701079698;Pearson;WD_BA;Accélération maximale
max_d2;-0,289186602870813381;0,01128736410830560865648;Spearman;WD_BA;Accélération maximale
height_min_d2;0,438102109992927591;0,00007557442075714215920;Pearson;WD_BA;Hauteur à décélération max
height_min_d2;0,460366239030554569;0,00002859807553926623785;Spearman;WD_BA;Hauteur à décélération max
min_d2;0,493168482315325063;0,00000600560393306490254;Pearson;WD_BA;Décélération maximale
min_d2;0,340205058099794955;0,00263904464887812452087;Spearman;WD_BA;Décélération maximale
prop_at_5m;-0,256632555377292904;0,02523322588944503300223;Pearson;WD_BA;prop_at_5m
prop_at_5m;-0,411393573642600541;0,00022258635520093755095;Spearman;WD_BA;prop_at_5m
prop_at_10m;-0,327202036649930417;0,00391319701818119806969;Pearson;WD_BA;Proportion de trouées à 10m
prop_at_10m;-0,426674139956241816;0,00012130943052528093951;Spearman;WD_BA;Proportion de trouées à 10m
prop_at_15m;-0,424263682318159363;0,00013375710572106826613;Pearson;WD_BA;Proportion de trouées à 15m
prop_at_15m;-0,499524945500018469;0,00000435466166967566524;Spearman;WD_BA;Proportion de trouées à 15m
prop_at_20m;-0,607591641312557162;0,00000000588547245188952;Pearson;WD_BA;Proportion de trouées à 20m
prop_at_20m;-0,572686261107313688;0,00000006461079712015489;Spearman;WD_BA;Proportion de trouées à 20m
prop_at_25m;-0,606883665871668532;0,00000000619643365118890;Pearson;WD_BA;prop_at_25m
prop_at_25m;-0,570981346434024983;0,00000007212116452258385;Spearman;WD_BA;prop_at_25m
prop_at_30m;-0,478209087027303859;0,00001248246130246483299;Pearson;WD_BA;Proportion de trouées à 30m
prop_at_30m;-0,499453108305118409;0,00000437066780743675744;Spearman;WD_BA;Proportion de trouées à 30m
prop_at_35m;-0,399019630640436829;0,00035638784071286743393;Pearson;WD_BA;prop_at_35m
prop_at_35m;-0,477302278629956667;0,00001303425995610942806;Spearman;WD_BA;prop_at_35m
prop_at_40m;-0,316803420132108493;0,00529915308773789076047;Pearson;WD_BA;prop_at_40m
prop_at_40m;-0,414338827939237264;0,00019845586667591988330;Spearman;WD_BA;prop_at_40m
h10;0,451020650724982430;0,00004335744759762374478;Pearson;WD_BA;Hauteur à 10% de trouées
h10;0,491565276828434705;0,00000650620572972841233;Spearman;WD_BA;Hauteur à 10% de trouées
h25;0,522959404291292729;0,00000125700922172766831;Pearson;WD_BA;Hauteur à 25% de trouées
h25;0,553848257006151701;0,00000021054650442844691;Spearman;WD_BA;Hauteur à 25% de trouées
h50;0,537578676694186020;0,00000055169977225580190;Pearson;WD_BA;Hauteur à 50% de trouées
h50;0,546411483253588459;0,00000032909388986222545;Spearman;WD_BA;Hauteur à 50% de trouées
h75;0,568472325217210916;0,00000008469447735928516;Pearson;WD_BA;Hauteur à 75% de trouées
h75;0,540833902939166111;0,00000045682948282019129;Spearman;WD_BA;Hauteur à 75% de trouées
h90;0,561773373418920308;0,00000012923622864459966;Pearson;WD_BA;Hauteur à 90% de trouées
h90;0,536240601503759406;0,00000059585332398600666;Spearman;WD_BA;Hauteur à 90% de trouées
h100;0,383621812252197880;0,00068019271015734507520;Pearson;WD_BA;h100
h100;0,423294898452644730;0,00015445814446447006735;Spearman;WD_BA;h100
auc_norm;-0,438730412610973119;0,00007359728960969925276;Pearson;WD_BA;auc_norm
auc_norm;-0,343157894736842106;0,00240756528736373086666;Spearman;WD_BA;auc_norm
auc;-0,112374356114572194;0,33380077859061685341402;Pearson;WD_BA;Aire sous la courbe
auc;0,013561175666438824;0,90743891007078403276864;Spearman;WD_BA;Aire sous la courbe
auc_0_25_norm;-0,184212137409344279;0,11116600216428804137614;Pearson;WD_BA;auc_0_25_norm
auc_0_25_norm;-0,160464798359535199;0,16614216182145191691433;Spearman;WD_BA;auc_0_25_norm
auc_0_25;0,207594770281382734;0,07195011754313683505213;Pearson;WD_BA;auc_0_25
auc_0_25;0,209897470950102527;0,06878218376381586840473;Spearman;WD_BA;auc_0_25
auc_25_75_norm;0,125325371581686745;0,28071535325592028575770;Pearson;WD_BA;auc_25_75_norm
auc_25_75_norm;0,096541353383458636;0,40675377463424522428426;Spearman;WD_BA;auc_25_75_norm
auc_25_75;0,190297357953946755;0,09964784324523572045518;Pearson;WD_BA;auc_25_75
auc_25_75;0,144169514695830503;0,21404708206238973189350;Spearman;WD_BA;auc_25_75
auc_75_100_norm;-0,115205294141601841;0,32168761827059427771403;Pearson;WD_BA;auc_75_100_norm
auc_75_100_norm;0,008639781271360218;0,94095235053143722048219;Spearman;WD_BA;auc_75_100_norm
auc_75_100;-0,225426869845233552;0,05023739861237157267038;Pearson;WD_BA;auc_75_100
auc_75_100;-0,058619275461380724;0,61496818376609208023353;Spearman;WD_BA;auc_75_100
basal_thickness;0,522842416837710600;0,00000126512475551389032;Pearson;WD_BA;Épaisseur zone basale
basal_thickness;0,555894401347533429;0,00000018584386421436373;Spearman;WD_BA;Épaisseur zone basale
transition_thickness;0,201912614623985798;0,08026947590555838507598;Pearson;WD_BA;Épaisseur zone de transition
transition_thickness;0,135179037723045153;0,24430821656451787160513;Spearman;WD_BA;Épaisseur zone de transition
upper_thickness;-0,567620003638201198;0,00000008941945645421077;Pearson;WD_BA;Épaisseur zone supérieure
upper_thickness;-0,539480268589648149;0,00000049423766158192847;Spearman;WD_BA;Épaisseur zone supérieure
basal_auc_norm;-0,184212137409344279;0,11116600216428804137614;Pearson;WD_BA;basal_auc_norm
basal_auc_norm;-0,160464798359535199;0,16614216182145191691433;Spearman;WD_BA;basal_auc_norm
basal_auc;0,207594770281382734;0,07195011754313683505213;Pearson;WD_BA;basal_auc
basal_auc;0,209897470950102527;0,06878218376381586840473;Spearman;WD_BA;basal_auc
transition_auc_norm;0,125325371581686745;0,28071535325592028575770;Pearson;WD_BA;transition_auc_norm
transition_auc_norm;0,096541353383458636;0,40675377463424522428426;Spearman;WD_BA;transition_auc_norm
transition_auc;0,190297357953946755;0,09964784324523572045518;Pearson;WD_BA;transition_auc
transition_auc;0,144169514695830503;0,21404708206238973189350;Spearman;WD_BA;transition_auc
upper_auc_norm;-0,115205294141601841;0,32168761827059427771403;Pearson;WD_BA;upper_auc_norm
upper_auc_norm;0,008639781271360218;0,94095235053143722048219;Spearman;WD_BA;upper_auc_norm
upper_auc;-0,225426869845233552;0,05023739861237157267038;Pearson;WD_BA;upper_auc
upper_auc;-0,058619275461380724;0,61496818376609208023353;Spearman;WD_BA;upper_auc
slope_basal;-0,196795042545177712;0,08840127383773929703459;Pearson;WD_BA;slope_basal
slope_basal;-0,493615857826384119;0,00000587249229732865430;Spearman;WD_BA;slope_basal
slope_transition;-0,295132101069225661;0,00964823877368679340416;Pearson;WD_BA;slope_transition
slope_transition;-0,121749829118250164;0,29477532842180204086802;Spearman;WD_BA;slope_transition
slope_upper;0,364129976443627268;0,00122249232586207315539;Pearson;WD_BA;slope_upper
slope_upper;0,425673274094326703;0,00012634201544503589312;Spearman;WD_BA;slope_upper
height_max_d1;0,408032593978043201;0,00025340167074061392466;Pearson;WD_BA;Hauteur à pente maximale
height_max_d1;0,418495590555575114;0,00016847882745295490476;Spearman;WD_BA;Hauteur à pente maximale
max_d1;-0,440909063647621502;0,00006710660093092323149;Pearson;WD_BA;Pente maximale
max_d1;-0,304470266575529724;0,00749234819671136878516;Spearman;WD_BA;Pente maximale
height_max_d2;0,420631200804657157;0,00015475559427126584161;Pearson;WD_BA;Hauteur à accélération max
height_max_d2;0,482768760800949104;0,00001002364522980746688;Spearman;WD_BA;Hauteur à accélération max
max_d2;-0,430689435474637727;0,00010292395824701079698;Pearson;WD_BA;Accélération maximale
max_d2;-0,289186602870813381;0,01128736410830560865648;Spearman;WD_BA;Accélération maximale
height_min_d2;0,438102109992927591;0,00007557442075714215920;Pearson;WD_BA;Hauteur à décélération max
height_min_d2;0,460366239030554569;0,00002859807553926623785;Spearman;WD_BA;Hauteur à décélération max
min_d2;0,493168482315325063;0,00000600560393306490254;Pearson;WD_BA;Décélération maximale
min_d2;0,340205058099794955;0,00263904464887812452087;Spearman;WD_BA;Décélération maximale
prop_at_5m;0,210055249890955392;0,06856929689893040413828;Pearson;prop_g_helio;prop_at_5m
prop_at_5m;0,462715236391979812;0,00002570851908789879587;Spearman;prop_g_helio;prop_at_5m
prop_at_10m;0,261502572552862689;0,02250080200253146839318;Pearson;prop_g_helio;Proportion de trouées à 10m
prop_at_10m;0,524186768206149623;0,00000117477061593137772;Spearman;prop_g_helio;Proportion de trouées à 10m
prop_at_15m;0,358302179576906299;0,00148262463778481594009;Pearson;prop_g_helio;Proportion de trouées à 15m
prop_at_15m;0,539894326016207793;0,00000048249854000835093;Spearman;prop_g_helio;Proportion de trouées à 15m
prop_at_20m;0,553161406409519607;0,00000021951325180420450;Pearson;prop_g_helio;Proportion de trouées à 20m
prop_at_20m;0,564565960355434049;0,00000010848494934334058;Spearman;prop_g_helio;Proportion de trouées à 20m
prop_at_25m;0,531179114896333404;0,00000079492084006603437;Pearson;prop_g_helio;prop_at_25m
prop_at_25m;0,540044702983928038;0,00000047830070139492217;Spearman;prop_g_helio;prop_at_25m
prop_at_30m;0,392366267414518355;0,00045562203542376877256;Pearson;prop_g_helio;Proportion de trouées à 30m
prop_at_30m;0,428876131982342035;0,00011088209375312985247;Spearman;prop_g_helio;Proportion de trouées à 30m
